DoctorID,FirstName,LastName,Specialty,PhoneNumber,Email
1,Annabelle,Schake,Cardiology,+1-303-222-5855,annabelle.schake1@hopehospital.org
2,Martha,Slowey,Generalist,+1-303-642-7725,martha.slowey2@hopehospital.org
3,Mackenzie,Leonor,Radiology,+1-303-484-1826,mackenzie.leonor3@hopehospital.org
4,Lance,Cianfarani,Generalist,+1-303-821-6755,lance.cianfarani4@hopehospital.org
5,Merrill,Florack,Radiology,+1-303-809-4954,merrill.florack5@hopehospital.org
6,Mitchell,Burnheimer,Generalist,+1-303-440-4844,mitchell.burnheimer6@hopehospital.org
7,Robyn,Stueck,Cardiology,+1-303-504-1486,robyn.stueck7@hopehospital.org
8,Courtney,Joeckel,Gastroenterology,+1-303-459-8938,courtney.joeckel8@hopehospital.org
9,Jack,Ligget,Cardiology,+1-303-917-8028,jack.ligget9@hopehospital.org
10,Lauren,Gregan,Surgery,+1-303-151-6098,lauren.gregan10@hopehospital.org
11,Marquise,Beaz,Psychiatry,+1-303-277-5261,marquise.beaz11@hopehospital.org
12,Allan,Demichele,Generalist,+1-303-173-7958,allan.demichele12@hopehospital.org
13,Nathaniel,Bohigian,Oncology,+1-303-839-9864,nathaniel.bohigian13@hopehospital.org
14,Danny,Spude,Dermatology,+1-303-747-6237,danny.spude14@hopehospital.org
15,William,Wenstrup,Generalist,+1-303-491-3118,william.wenstrup15@hopehospital.org
16,Quentin,Friberg,Radiology,+1-303-365-5165,quentin.friberg16@hopehospital.org
17,Chandler,Reary,Pediatrics,+1-303-753-2000,chandler.reary17@hopehospital.org
18,Cathy,Thornwell,Generalist,+1-303-133-8688,cathy.thornwell18@hopehospital.org
19,Octavio,Vitetta,Generalist,+1-303-829-5404,octavio.vitetta19@hopehospital.org
20,Geneva,Nailor,Cardiology,+1-303-607-7262,geneva.nailor20@hopehospital.org
21,Clement,Rusch,Oncology,+1-303-634-1156,clement.rusch21@hopehospital.org
22,Tevin,Knap,Radiology,+1-303-497-5303,tevin.knap22@hopehospital.org
